#START7777
#--------------------------------------------------------------------------------------------------
#  기상청 지상관측 시간자료 [입력인수형태][예] ?tm=201007151200&stn=0&help=1
#--------------------------------------------------------------------------------------------------
#  1. TM     : 관측시각 (KST)
#  2. STN    : 국내 지점번호
#  3. WD     : 풍향 (16방위)
#  4. WS     : 풍속 (m/s)
#  5. GST_WD : 돌풍향 (16방위)
#  6. GST_WS : 돌풍속 (m/s)
#  7. GST_TM : 돌풍속이 관측된 시각 (시분)
#  8. PA     : 현지기압 (hPa)
#  9. PS     : 해면기압 (hPa)
# 10. PT     : 기압변화경향 (Code 0200) 
# 11. PR     : 기압변화량 (hPa)
# 12. TA     : 기온 (C)
# 13. TD     : 이슬점온도 (C)
# 14. HM     : 상대습도 (%)
# 15. PV     : 수증기압 (hPa)
# 16. RN     : 강수량 (mm) : 여름철에는 1시간강수량, 겨울철에는 3시간강수량
# 17. RN_DAY : 일강수량 (mm) : 해당시간까지 관측된 양(통계표)
# 18. RN_JUN : 일강수량 (mm) : 해당시간까지 관측된 양을 전문으로 입력한 값(전문)
# 19. RN_INT : 강수강도 (mm/h) : 관측하는 곳이 별로 없음
# 20. SD_HR3 : 3시간 신적설 (cm) : 3시간 동안 내린 신적설의 높이
# 21. SD_DAY : 일 신적설 (cm) : 00시00분부터 위 관측시간까지 내린 신적설의 높이
# 22. SD_TOT : 적설 (cm) : 치우지 않고 그냥 계속 쌓이도록 놔눈 경우의 적설의 높이
# 23. WC     : GTS 현재일기 (Code 4677)
# 24. WP     : GTS 과거일기 (Code 4561) .. 3(황사),4(안개),5(가랑비),6(비),7(눈),8(소나기),9(뇌전)
# 25. WW     : 국내식 일기코드 (문자열 22개) : 2자리씩 11개까지 기록 가능 (코드는 기상자원과 문의)
# 26. CA_TOT : 전운량 (1/10)
# 27. CA_MID : 중하층운량 (1/10)
# 28. CH_MIN : 최저운고 (100m)
# 29. CT     : 운형 (문자열 8개) : 2자리 코드로 4개까지 기록 가능
# 30. CT_TOP : GTS 상층운형 (Code 0509)
# 31. CT_MID : GTS 중층운형 (Code 0515)
# 32. CT_LOW : GTS 하층운형 (Code 0513)
# 33. VS     : 시정 (10m)
# 34. SS     : 일조 (hr)
# 35. SI     : 일사 (MJ/m2)
# 36. ST_GD  : 지면상태 코드 (코드는 기상자원과 문의)
# 37. TS     : 지면온도 (C)
# 38. TE_005 : 5cm 지중온도 (C)
# 39. TE_01  : 10cm 지중온도 (C)
# 40. TE_02  : 20cm 지중온도 (C)
# 41. TE_03  : 30cm 지중온도 (C)
# 42. ST_SEA : 해면상태 코드 (코드는 기상자원과 문의)
# 43. WH     : 파고 (m) : 해안관측소에서 목측한 값
# 44. BF     : Beaufart 최대풍력(GTS코드)
# 45. IR     : 강수자료 유무 (Code 1819) .. 1(Sec1에 포함), 2(Sec3에 포함), 3(무강수), 4(결측)
# 46. IX     : 유인관측/무인관측 및 일기 포함여부 (code 1860) .. 1,2,3(유인) 4,5,6(무인) / 1,4(포함), 2,5(생략), 3,6(결측)
#--------------------------------------------------------------------------------------------------
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
201512121000 108   9  4.5  -9 -9.0   -9 1016.6 1027.3 -9  -9.0   5.1  -4.7  49.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  0.88 -9   3.5   3.4   3.3   5.2   6.0  -9 -9.0 -9  3  2
201512121100 108   9  3.6  -9 -9.0   -9 1016.0 1026.6 -9  -9.0   6.6  -5.1  43.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  1.29 -9   7.3   5.2   3.9   5.1   6.0  -9 -9.0 -9  3  2
201512121200 108   7  3.5  -9 -9.0   -9 1014.9 1025.4  7  -1.9   8.3  -5.2  38.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  1.55 -9   9.7   7.0   4.7   5.2   5.9  -9 -9.0 -9  3  2
201512121300 108   7  3.8  -9 -9.0   -9 1014.0 1024.5 -9  -9.0   9.0  -4.9  37.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  1.61 -9  10.8   8.4   5.6   5.4   5.9  -9 -9.0 -9  3  2
201512121400 108   9  2.7  -9 -9.0   -9 1013.1 1023.6 -9  -9.0  10.0  -4.7  35.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  1.49 -9  11.1   9.4   6.4   5.7   5.9  -9 -9.0 -9  3  2
201512121500 108   2  1.6  -9 -9.0   -9 1012.6 1023.0  7  -2.4  10.6  -4.6  34.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  1.16  1   9.6   9.8   7.0   6.0   6.0  -9 -9.0 -9  3  2
201512121600 108   2  1.5  -9 -9.0   -9 1012.7 1023.2 -9  -9.0  10.2  -4.6  35.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   2   28 Ac         0   3   0  2000  1.0  0.71 -9   7.7   9.5   7.4   6.4   6.1  -9 -9.0 -9  3  2
201512121700 108   2  1.0  -9 -9.0   -9 1012.7 1023.2 -9  -9.0   8.6  -3.9  41.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   3   28 Ac         0   3   0  2000  0.7  0.22 -9   5.9   7.9   7.3   6.6   6.3  -9 -9.0 -9  3  2
201512121800 108   2  0.8  -9 -9.0   -9 1013.1 1023.7  2   0.7   7.2  -4.5  43.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   3   10 ScAc       0   3   5  2000  0.0  0.00 -9   4.5   5.8   6.9   6.8   6.4  -9 -9.0 -9  3  2
201512121900 108   2  1.0  -9 -9.0   -9 1013.4 1024.0 -9  -9.0   6.2  -3.7  49.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  2000 -9.0 -9.00 -9   3.6   4.5   6.2   6.8   6.5  -9 -9.0 -9  3 -9
201512122000 108   2  2.2  -9 -9.0   -9 1013.8 1024.5 -9  -9.0   5.6  -4.2  49.0   4.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  1900 -9.0 -9.00 -9   3.3   3.9   5.7   6.7   6.5  -9 -9.0 -9  3 -9
201512122100 108   2  1.5  -9 -9.0   -9 1013.7 1024.4  0   0.7   5.0  -4.3  51.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   6   10 Sc         0   0   5  1900 -9.0 -9.00  1   2.7   3.5   5.3   6.5   6.5  -9 -9.0 -9  3  2
201512122200 108   2  0.5  -9 -9.0   -9 1013.8 1024.5 -9  -9.0   4.4  -3.8  55.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  1900 -9.0 -9.00 -9   2.3   3.0   4.9   6.4   6.6  -9 -9.0 -9  3 -9
201512122300 108   2  1.6  -9 -9.0   -9 1013.5 1024.2 -9  -9.0   3.7  -4.2  56.0   4.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  1900 -9.0 -9.00 -9   1.9   2.5   4.6   6.3   6.5  -9 -9.0 -9  3 -9
201512130000 108   2  1.8  -9 -9.0   -9 1013.6 1024.4  4   0.0   3.1  -3.9  60.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1900 -9.0 -9.00 -9   1.6   2.1   4.3   6.1   6.4  -9 -9.0 -9  3  2
